Date,Open,High,Low,Close,Adj Close,Volume
2018-08-27,384.0,388.0,378.399994,380.649994,380.649994,336100
2018-08-28,381.26001,386.880005,378.339996,385.97000099999997,385.97000099999997,393900
2018-08-29,388.230011,402.959991,387.950012,402.02999900000003,402.02999900000003,641600
2018-08-30,399.890015,414.700012,399.890015,408.579987,408.579987,595100
2018-08-31,406.77999900000003,415.859985,402.200012,406.579987,406.579987,527300
2018-09-04,402.059998,413.790009,400.01001,411.359985,411.359985,474200
2018-09-05,410.700012,410.98999,383.119995,383.829987,383.829987,736300
2018-09-06,385.100006,386.440002,376.140015,383.100006,383.100006,535900
2018-09-07,378.440002,388.929993,375.290009,377.48999,377.48999,379800
2018-09-10,381.269989,389.559998,378.570007,388.579987,388.579987,472600
2018-09-11,388.100006,397.640015,383.27999900000003,397.410004,397.410004,467200
2018-09-12,397.0,398.910004,380.390015,392.940002,392.940002,485900
2018-09-13,396.179993,397.480011,388.690002,390.940002,390.940002,374800
2018-09-14,392.320007,399.119995,392.0,395.670013,395.670013,398600
2018-09-17,395.600006,399.619995,367.709991,368.899994,368.899994,643800
2018-09-18,369.059998,380.640015,368.549988,376.559998,376.559998,598000
2018-09-19,377.0,380.52999900000003,366.910004,376.75,376.75,450300
2018-09-20,377.75,382.100006,372.190002,381.980011,381.980011,481300
2018-09-21,381.329987,386.72000099999997,380.97000099999997,384.880005,384.880005,1565400
2018-09-24,381.02999900000003,422.910004,378.0,419.60998499999994,419.60998499999994,995700
2018-09-25,420.0,445.700012,419.059998,441.51998899999995,441.51998899999995,1198500
2018-09-26,443.48999000000003,454.0,438.51998899999995,444.700012,444.700012,914000
2018-09-27,445.5,451.790009,437.10000599999995,442.89001500000006,442.89001500000006,621000
2018-09-28,441.290009,455.39999400000005,441.0,449.75,449.75,696400
2018-10-01,452.89999400000005,459.75,442.92999299999997,444.25,444.25,526300
2018-10-02,442.920013,442.920013,426.39001500000006,429.170013,429.170013,843900
2018-10-03,429.589996,431.0,418.410004,426.420013,426.420013,470200
2018-10-04,424.80999800000006,424.97000099999997,407.619995,416.790009,416.790009,587500
2018-10-05,418.98999,430.92999299999997,405.480011,415.709991,415.709991,565000
2018-10-08,414.170013,415.549988,388.390015,399.01001,399.01001,785200
2018-10-09,397.350006,408.869995,393.959991,395.079987,395.079987,536200
2018-10-10,394.640015,396.98999,375.609985,376.890015,376.890015,865800
2018-10-11,372.0,383.880005,363.630005,367.540009,367.540009,815500
2018-10-12,381.570007,396.190002,374.26001,384.77999900000003,384.77999900000003,989300
2018-10-15,383.77999900000003,387.97000099999997,367.23999,372.079987,372.079987,674000
2018-10-16,376.27999900000003,388.109985,374.73999,386.880005,386.880005,460600
2018-10-17,391.570007,391.570007,380.049988,389.790009,389.790009,355500
2018-10-18,389.47000099999997,389.959991,380.049988,386.630005,386.630005,462800
2018-10-19,388.410004,391.700012,360.630005,362.420013,362.420013,850500
2018-10-22,363.019989,368.690002,355.609985,366.200012,366.200012,504900
2018-10-23,358.890015,373.850006,350.25,370.040009,370.040009,492500
2018-10-24,369.480011,376.799988,352.0,352.709991,352.709991,497900
2018-10-25,352.0,352.0,317.0,333.119995,333.119995,1416100
2018-10-26,320.100006,337.519989,317.559998,330.350006,330.350006,753300
2018-10-29,331.390015,339.690002,313.399994,320.02999900000003,320.02999900000003,730100
2018-10-30,320.149994,333.670013,315.339996,331.22000099999997,331.22000099999997,602800
2018-10-31,338.0,352.459991,333.880005,341.200012,341.200012,897700
2018-11-01,357.0,378.369995,342.0,376.940002,376.940002,1482100
2018-11-02,390.0,399.880005,376.119995,384.130005,384.130005,765400
2018-11-05,385.850006,395.23999,379.51001,392.910004,392.910004,707500
2018-11-06,392.77999900000003,399.579987,381.839996,389.850006,389.850006,442600
2018-11-07,410.0,427.700012,402.0,412.100006,412.100006,818300
2018-11-08,409.799988,420.17999299999997,404.01001,413.850006,413.850006,436200
2018-11-09,413.320007,413.320007,395.640015,405.170013,405.170013,527300
2018-11-12,388.98999,388.98999,330.01001,337.859985,337.859985,1692900
2018-11-13,342.399994,351.73999,329.299988,330.630005,330.630005,784600
2018-11-14,333.299988,335.160004,309.829987,312.559998,312.559998,1169400
2018-11-15,310.579987,324.269989,301.119995,320.77999900000003,320.77999900000003,931300
2018-11-16,318.040009,332.149994,315.380005,319.77999900000003,319.77999900000003,752900
2018-11-19,316.02999900000003,316.320007,293.730011,299.829987,299.829987,966300
2018-11-20,288.920013,307.920013,280.829987,302.290009,302.290009,963800
2018-11-21,306.619995,315.140015,300.410004,301.600006,301.600006,475800
2018-11-23,299.880005,305.700012,298.25,299.410004,299.410004,224600
2018-11-26,301.399994,312.269989,295.200012,311.149994,311.149994,752100
2018-11-27,309.299988,318.519989,304.559998,313.950012,313.950012,1090200
2018-11-28,316.640015,335.98999,316.459991,335.22000099999997,335.22000099999997,710500
2018-11-29,331.649994,335.420013,327.0,331.98999,331.98999,533400
2018-11-30,334.359985,335.980011,329.040009,332.679993,332.679993,522900
2018-12-03,339.619995,344.98999,333.209991,343.450012,343.450012,573000
2018-12-04,340.829987,343.200012,321.899994,327.179993,327.179993,587700
2018-12-06,318.0,333.26001,310.579987,332.980011,332.980011,501100
2018-12-07,331.559998,333.0,315.049988,317.519989,317.519989,469100
2018-12-10,317.899994,326.790009,312.459991,323.660004,323.660004,447800
2018-12-11,330.0,330.799988,322.600006,328.130005,328.130005,391800
2018-12-12,335.0,341.089996,330.320007,330.690002,330.690002,376900
2018-12-13,332.420013,338.209991,317.26001,319.72000099999997,319.72000099999997,444200
2018-12-14,313.630005,323.929993,312.02999900000003,316.190002,316.190002,348600
2018-12-17,312.570007,312.570007,295.399994,298.769989,298.769989,758400
2018-12-18,305.109985,306.75,299.140015,304.799988,304.799988,552200
2018-12-19,305.0,314.660004,290.450012,296.140015,296.140015,647100
2018-12-20,296.140015,303.209991,275.48999,284.27999900000003,284.27999900000003,896100
